text,label
Inaasahan na ni Vice President Jejomar Binay na may mga taong... https://t.co/SDytgbWiLh,0
Salamat sa walang sawang suporta ng mga taga makati! Ang Pagbabalik Binay In Makati #OnlyBinayInMakatiSanKaPa https://t.co/iwAOdtZPRE,0
"Binay with selective amnesia, forgetting about the past six years he spent preparing to be president.  #PiliPinasDebates2016",0
It doesn't matter whoever won between Duterte &amp; Miriam as President. As long as they finally changed the country Noynoy failed to do so.,0
What Abi Binay said on running for Makati mayor #Halalan2016 https://t.co/ayxM39JKNx https://t.co/rHhl4LfMaa,0
"@xpeanutgalleryx Pet theory: Contrasted w/ PNoy for past 6 years, Binay hasn't failed much - then again he hasn't done much either.",0
"RT @_nicklegaspi_: Sino ba si Binay? Yuan: Nognog, Pandak, Laki sa Hirap.",0
BREAKING: VCM Inside Novotel Cubao owned by Mar Roxas https://t.co/dHPwvHwfwX,0
"di daw pagsisihan na binoto nila si MDS kahit talo baka dun na kayo magsisi kung si Roxas, Binay or Poe ang mananalo, kayo na matatalino :D",0
"RT @chevalierkun: So ""anak ni Mar"" pala itong si DJP.Won't be surprised if ""Nese Iye Ne Eng Lehet"" will be Mar Roxas' campaign jingle.#N…",0
#OnlyBinayMagAangatSaTacloban,0
Si Senator Nancy Binay ba tinutukoy mo? Hahahahaha! ?? https://t.co/LLHL8Q9R3I,0
Alma Moreno OK despite being bashed over TV interview: Binay #Halalan2016 https://t.co/QErQ4b35fF https://t.co/b1jPPpALbZ | via ABS-CBN N…,0
I will definitely not vote for Binay a big NO ????,0
si Mar Roxas yung parang cartoon or anime na hindi nagpapalit ng damit.,0
"Political ad on respect not a response to Duterte’s rape remark, Poe clarifies https://t.co/XSgjKs34vl",0
"RT @TropangMARangal: Mar Roxas is in Naguilian, Isabela today to attend a sectoral assembly https://t.co/6JTsqoVgbG",0
Sooo not Mar Roxas ??,0
"#Newsreport Pagsuporta ng Gobernador ng Ifugao kay VP Binay, pinasalamatan ng UNA I via Allan Francisco",0
Haha. Binay at Jollibee. https://t.co/grK0Unnrqu,0
"VPcandidate senTrillanes, campaign more for Presidential CandidateSenGracePoe than his VP bid, also said no to Binay https://t.co/zM4f12tMiJ",0
That Binay commercial tho.,0
Mar offered unity talks w Grace Poe. Invitation declined. Bayan bago Sarili Sana. #Roxas2016 #RoxasRobredo #SwitchtoMar,0
"Nagrereklamo yung kasabay ko sa jeep, Duterte daw binoto niya Roxas lumabas.",0
"Walang drama. Walang hugot. Trabaho lang. At higit sa lahat, hindi tayo pagnanakawan ni @MARoxas!#RoxasRobredo2016 https://t.co/AdlkE3qXNF",0
ItsShowtime ToMiho,0
"If Mr.Palengke looses his Presidential bid ,di c Binay di c Duterte At lolong di c Poe ang sisihin kundi ALDUBNATIONS. #VoteMaineFPP #KCA",0
Binay completes Senate slate #Halalan2016 https://t.co/qFiWau1srr https://t.co/qx9Wyvgk7C,0
O mar roxas debates daw.. https://t.co/WYNSrwKv0x,0
Sana kasi President Duterte and Vice President Santiago,0
Lonely Binay.,0
"Mar Roxas' son, Paolo now stumping for his Dad here in Digos City, Davao del Sur | @aureacalica https://t.co/SAI6wtBTIS",0
Handa na po ang Wheel Chair PNOY  Trillianes Mar Roxas,0
RT @markanthonyqui5: @yaneeyoo wow binay ikaw bayan haha,0
@AbglGrllo @dauntjess oy nandito si binay,0
Had a lot to say about the controversial paid ads released last night. But it thought me that it only helps make mar roxas's name trend.,0
Do you know that #Binay's enormous wealth did not all come from his salary all these years as a gov't. official? https://t.co/apoM28DulB,0
Mar Leni Mar Leni Mar Leni Mar Leni Mar Leni!!! Think positive. Tandem win!???? #RoxasRobredo,0
LOOK: 'Binay' sign ala Hollywood rises on Banaue Rice Terraces https://t.co/gQ2bBkt5ou #Halalan2016 https://t.co/kqL7UQ8l2M | via ABS-CBN…,0
"RT iamkarendavila: JUST IN. Mar Roxas calling on Grace Poe to talk. ""This is for unity. Mag-usap tayo"" ANCALERTS",0
RT @senmiriam: [STAFF] Sen. Miriam Defensor Santiago sponsors Senate Resolution No. 1414 on the EDCA.,0
RT @ruffagucherez: #RespectDJPDecisionForMarRoxas tanungin na lang natin kng san galing yng binayad ni pamintang @MARoxas sa kanya! #Yoland…,0
LP to Binay: Where did you get the P600M you spent on TV ads? | https://t.co/Crkqho2mPm | Philippine News https://t.co/68hAdQCt8q via @po_st,0
"@omeng414 @ADMDShippersOFC @erlyn21 basahin ko padin, panu kung ma retweet ko nanaman yung kay BINAY?ADN FOR MAINE#VoteMaineFPP #KCA",0
"He is just endorsing Mar Roxas, hindi naman niya kau pinipilit na iboto siya. #RespectDJPDecisionForMarRoxas",0
#Roxas2016 #RoxasRobredo #SwitchtoMar  https://t.co/fbIzaMOoUr,0
"Madami naman natulungan si Binay, kesa kay dut3rt3.",0
@aisaraaap gago hindi! Hahahaha. Mga anti-Binay girl.,0
#UNTVRepaso2015 CA dismisses Junjun Binay’s petition against Ombudsman suspension order [2-11-2015] [NY-A1710],0
Yown! 1st time nag vote. #DapatTama #eleksyon2016 #gracepoe2016 #gracepoeforpresident https://t.co/omJ5hXVHVj,0
@Jessalipopsx Duterte Roxas Poe Binay Santiago ang Rank,0
@rapplerdotcom salamat sa UNA camp. we fought a good fight guys VP Binay pa rin tlga,0
#OnlyBinayParehoTayo kung lumaki man taung mahirap c VP Binay din ay lumaki ng mahirap,0
K.,0
Bets should be ready but wrong to bash Alma Moreno for interview —VP Binay #http://ift.tt/1lySbjY https://t.co/efOLgJwM6T,0
"BETA | #NEWSROOM5: EPAL MOVES? BINAY, ROXAS, ROBREDO, BINISITA ANG MGA BINAGYOFor more videos, visit us... https://t.co/Et9jYW0B5d",0
"WATCH | Daniel Padilla interviews Mar Roxas, gets mixed reviews https://t.co/61eyq1w6MF",0
2015/11/22 05:18 PHT https://t.co/dRwxiUtCOV,0
Not sure why Binay isn't giving up. He's 10M behind Duterte and there's just less than 10M votes that's yet to be counted. #Halalan2016,0
Binay’s big promise: No income tax for workers earning P30K monthly and below: Vice President Jejomar Binay vo... https://t.co/hOmPUO1AQ8,0
2016/2/9 08:32 PHT,0
"""Ano masasabi mo sa performance ni Binay sa recent presidential debate?""Me: https://t.co/sPnrx3pXm2",0
I VOTE ROXAS #Halalan2016 Mar Daang Matuwid RORO RISING All things are possible if you believe.,0
VP Binay tikom ang bibig sa pahayag ni Sen. JV Ejercito na si Sen. Grace Poe ang susuportahan ng kanyang ama na si Erap |via Allan Francisco,0
RT TVPatrol: KILALANIN: Vice President Jejomar Binay https://t.co/f5rM68MvaX #Halalan2016 https://t.co/EwAtt7ShBc,0
"Ito si BinayHindi sya nagchachat sa kung sino sino at sinasabing ""Kuya/Ate palike naman po nito"".'Di kupal si BinayTularan si Binay",0
@a7xrica Yun nga eh. Pero may sakit si Miriam. Ang hirap nito hati na mga boto sa kanila baka manalo pa tuloy si Binay.,0
Only binay only binay sino pa ba? Only binay,0
I'll not lead an uprising if Binay wins — Trillanes https://t.co/EXPhhaO7R6,0
"""Tignan mo to si Binay kung ano akong kwento nanaman iniimbento"" -Mudang ??",0
How did Binay manage to afford all this even after his accounts were frozen? Who does he owe? https://t.co/Em01B1ju02,0
"If the 2016 elections was a race between Mayor Rodrigo Duterte and former DILG Secretary Mar Roxas, who would... https://t.co/WmW8xmoR2J",0
Bagay na bagay kayo promise para kayong anak ni Binay??,0
Roxas mentions Daang Matuwid,0
@zaicajane kayo nalang ni binay. forever kayo eh. XD azar,0
"Binay to PH Business Expo: I hope should you invite me again next year, I'd be the President of the Philippines. #PHvote",0
"Not Binay, Poe, Roxas, but Santiago. #Miriam2016",0
DUTERTE TILL THE END,0
"I think we all KNOW who Noy's ""secret candidate"" is. *cough*BINAY*cough* https://t.co/dVPmhyRSjv #DaangMatuwid #CoryFavorite",0
"@Senyora Ang medjo nakakatakot manalo si Robredo baka ipa-impeach nya si Duterte.. eh galamay yan ni Roxas ,isama na si Trillanes.",0
  Only B1NAY   #OnlyBinayWinner,0
@jeiyoungs Kaano-ano ni Binay si Villar?,0
Chiz slams VP Binay and LP’s offer for Gordon to file DQ cases against Poe https://t.co/V7fbrj0qIJ,0
"If Duterte won't run for President, I'll go for Santiago and Bongbong tandem as long as they will appoint Duterte as DILG secretary.",0
@cruzjheeen yung last link na sinend ko nandun si Binay :((,0
"""Mar Roxas is not the first choice, but he's the best choice."" ????",0
"I'm not into VP Binay or what, but really people? Just because the media and other politicians has something to... https://t.co/VWeEAkXl00",0
Sen. Trillanes accuses VP Binay of lying and trying to deceive public in his TV ad showing… https://t.co/isahD3so85 https://t.co/bKW72V9vEu,0
Quicho: Dito magsisimula ang kampanya ni VP Binay laban sa kahirapan. @PhilippineStar #BilangPilipino,0
"Basta pag si Poe o si Binay ang nag-anoint ng successor sa 2022 at lahat ng ginagawa nina Mar/Leni now e gawin din nila, OK din sa inyo, ha?",0
"Sana yung binoto nyo kay Poe-Roxas-Binay, binoto nyo nalang kay Miriam eh",0
Oa lang naman yung mga die hard fans ni dut//erte. Pero kung kay Binay or Mar Roxas ginawa yun matutuwa sila pa sila. :-),0
"Sen. Bongbong Marcos gamely says he can get along with all presidentiables, Binay is also from… https://t.co/HeKJ0H4x1E",0
"In this election period, real image of people were revealed. Very much dismayed to Abscbn, Trillanes &amp; Roxas. Is there in conspiracy behind?",0
"RT @aliceyana1: ""Imagine what havoc a #Binay - #Marcos administration can wreak""Who’s afraid of #2016 ? https://t.co/15Wll6rXmZ#PHVote #…",0
buti pa si binay hahahaha,0
"RT kung traffic sa EDSALIKE kung hindi mo iboboto si BinayQT kung ano sa tingin nyo ang laman ng biceps ni Alden#VoteMaineFPP #KCA""",0
bakit mas mukhang may  sakit si grace poe kesa kay miriam? sns,0
"Poe, Binay, Duterte ‘all good’ for Migzhttps://t.co/StnnHCaOwG",0
"VP Binay, UNA condemn killing of former councilor of Sto. Tomas  https://t.co/erXBgg6tor | via GMA News",0
